id,name,email_domain,created_at,updated_at,active_user_count,preferences
64508,CRAFTERY,craftery.com,2019-07-16 16:25:55,2020-07-23 07:05:20,340,"{""self_upgrade"":true,""public_sharing"":true,""members_can_invite"":true}"
48415,Snoodle,snoodle.com,2018-09-24 14:56:29,2020-07-23 07:05:19,290,"{""self_upgrade"":true,""public_sharing"":false,""members_can_invite"":true}"
46789,KNITTERY,knittery.com,2018-07-07 19:04:35,2020-07-13 07:05:17,223,"{""self_upgrade"":true,""public_sharing"":true,""members_can_invite"":true}"
47698,Weavel,weavel.com,2018-08-05 21:31:24,2020-07-05 07:05:14,209,"{""self_upgrade"":true,""public_sharing"":true,""members_can_invite"":true}"
46100,Wearcade,wearcade.com,2018-04-22 23:21:07,2020-07-23 07:05:19,188,"{""self_upgrade"":true,""public_sharing"":true,""members_can_invite"":true}"
48137,Yobbit,yobbit.com,2018-09-16 09:19:09,2020-07-22 07:05:19,167,"{""self_upgrade"":true,""public_sharing"":true,""members_can_invite"":true}"
47724,Luckydogs,luckydogs.com,2018-08-03 04:47:10,2020-07-21 07:05:19,160,"{""self_upgrade"":true,""public_sharing"":true,""members_can_invite"":true}"
64984,Launchband,launchband.com,2019-07-18 00:53:19,2020-07-15 07:05:20,142,"{""self_upgrade"":true,""public_sharing"":true,""members_can_invite"":true}"
50747,Mixapop,mixapop.com,2018-07-31 06:50:48,2020-07-23 07:05:19,123,"{""self_upgrade"":true,""public_sharing"":true,""members_can_invite"":true}"
78017,utopiary,utopiary.com,2019-11-30 14:39:24,2020-07-08 07:05:15,117,"{""self_upgrade"":true,""public_sharing"":true,""members_can_invite"":true}"
97422,Lunchwell,lunchwell.com,2020-04-29 02:56:02,2020-06-20 07:05:25,110,"{""self_upgrade"":true,""public_sharing"":true,""members_can_invite"":true}"
46778,Cavawear,cavawear.com,2018-07-11 09:31:15,2020-07-15 07:05:19,108,"{""self_upgrade"":true,""public_sharing"":true,""members_can_invite"":true}"
46383,GardenBulb,gardenbulb.com,2018-05-24 18:15:31,2020-07-20 07:05:23,107,"{""self_upgrade"":true,""public_sharing"":true,""members_can_invite"":true}"
45680,VentureSkill,ventureskill.com,2018-01-10 19:22:37,2020-07-23 07:05:19,102,"{""self_upgrade"":true,""public_sharing"":true,""members_can_invite"":true}"
95427,Grumping,grumping.com,2020-04-08 14:29:52,2020-06-26 07:05:15,93,"{""self_upgrade"":true,""public_sharing"":false,""members_can_invite"":false}"
94032,Walkwire,walkwire.com,2020-03-24 21:47:54,2020-04-26 07:05:53,92,"{""self_upgrade"":true,""public_sharing"":true,""members_can_invite"":true}"
58981,Bakenatural,bakenatural.com,2019-06-05 23:17:09,2020-07-16 07:05:18,91,"{""self_upgrade"":true,""public_sharing"":true,""members_can_invite"":true}"
45802,Sprouter,sprouter.com,2018-05-09 12:23:36,2020-07-18 07:05:18,85,"{""self_upgrade"":true,""public_sharing"":true,""members_can_invite"":true}"
94181,Skibble,skibble.com,2020-03-26 10:26:26,2020-07-09 07:05:16,85,"{""self_upgrade"":true,""public_sharing"":true,""members_can_invite"":true}"
55191,Fashionglance,fashionglance.com,2019-04-15 20:18:15,2020-06-30 07:05:13,83,"{""self_upgrade"":true,""public_sharing"":true,""members_can_invite"":true}"
45804,Jiffybake,jiffybake.com,2018-05-05 21:42:28,2020-07-19 07:05:20,82,"{""self_upgrade"":true,""public_sharing"":false,""members_can_invite"":true}"
98266,Picwheel,picwheel.com,2020-05-07 14:25:06,2020-05-07 14:35:48,75,"{""self_upgrade"":true,""public_sharing"":true,""members_can_invite"":true}"
74384,Picview,picview.com,2019-10-12 00:07:43,2020-07-21 00:51:08,73,"{""self_upgrade"":true,""public_sharing"":false,""members_can_invite"":true}"
77214,RabbitJump,rabbitjump.com,2019-11-05 12:35:19,2020-07-20 07:05:25,71,"{""self_upgrade"":true,""public_sharing"":true,""members_can_invite"":true}"
83555,Carbonflower,carbonflower.com,2019-12-23 00:02:36,2020-07-11 07:05:17,64,"{""self_upgrade"":true,""public_sharing"":true,""members_can_invite"":true}"
